TIME 24 HOURS,BASE/SUB BASE,COUNTY,ROAD,PLACE,BRIEF ACCIDENT DETAILS,GENDER,AGE,CAUSE CODE,VICTIM,NO OF VICTIMS,Date DD/MM/YYYY,
2225,MAKINDU,MAKUENI,NAIROBI MOMBASA,NEAR MAKINDU TOWN,THE VEHICLE HIT THE M/CYCLE,M,50,10,P/PASSENGER,1,6/21/2016,
115,MOI'S BRIDGE,NANDI,ELDORET KITALE,SOI BRIDGE,HEAD ON COLLISION,M,32,98,DRIVER,1,6/21/2016,
545,DTEO CENTRAL,NAIROBI,LANDHIES,NEAR NASIKO COOP BANK,HIT AND RUN,M,30,98,PEDESTRIAN,1,6/20/2016,
720,DTEO KAYOLE,NAIROBI,KAMOROCK,MSAPONI COURT EATATE GATE,THE VEHICLE KNOCKED DOWN THE VICTIM,F,19,26,PEDESTRIAN,1,6/20/2016,
1525,MOIS BRIDGE,TRANS NZOIA,ELDORET KITALE,SOI BRIDGE,THE CYCLE LOST CONTROL AND HIT THE VEHICLE,M,29,20,M/CYCLIST,1,6/20/2016,
1525,BONDO,SIAYA,LUANDA KOTIENO NDORI,MITURI AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,F,19,29,P/PASSENGER,1,6/20/2016,
1930,DTEO KAREN,NAIROBI,SOUTHERN BY PASS,NGONG ROAD JUNCTION,THE VEHICLE KNOCKED DOWN THE VICTIM,F,57,98,PEDESTRIAN,1,6/20/2016,
2100,KITENGELA,KAJIADO,KITENGELA ISINYA,KIMALAT AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,32,68,PEDESTRIAN,1,6/20/2016,
2130,KIKUYU,KIAMBU,NAIVASHA NAIROBI,KIAMBAA AREA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,68,PEDESTRIAN,1,6/20/2016,
1230,EMBAKASI,NAIROBI,MOMBASA,IMARA DAIMA,THE VEHICLE KNOCKED DOWN THE VICTIM WHO WAS CROSSING THE ROAD,M,30,60,PEDESTRIAN,1,6/19/2016,
1100,KILIFI,KILIFI,KILIFI-MALINDI,CHUMANI,HEAD ON COLLISION,M,55,10,MOTOR CYCLIST & P/PASSENGER,2,6/19/2016,
2100,SALGAA,NAKURU,NAKURU-ELDORET,MOLO RIVER,HIT & RAN,M,55,98,PEDESTRIAN,1,6/19/2016,
2100,MAKONGENI,NAIROBI,JOGOO,MAZIWA,THE BUS HIT THE MOTOR CYCLE FROM BEHIND,M,30,30,MOTOR CYCLIST,1,6/19/2016,
UNKNOWN TIME,TARU,KWALE,MSA VOI ROAD,PIPELINE,HIT AND RUN,M,29,98,PEDESTRIAN,1,6/18/2016,
1120,MTWAPA,KILIFI,KILIFI MOMBASA,GOROFANI AREA,THE VEHICLE HIT THE M/CYCLE,M,36,26,P/PASSENGER,1,6/18/2016,
1500,LARI,KIAMBU,KIJABE GICHIEGO ROAD,GICHIEGO,THE VEHICLE LOST CONTROL AND RAMMD INTO A TREE,M,27,26,DRIVER,1,6/18/2016,
1500,LARI,KIAMBU,KIJABE GICHIEGO ROAD,GICHIEGO,THE VEHICLE LOST CONTROL AND RAMMD INTO A TREE,M,24,26,PASSENGER,2,6/18/2016,
1830,GIGIRI,NAIROBI,PARKLANDS MUTHAMA,MUTHAMA JUNCTION,THE CYCLE WAS HIT BY THE MOTOR VEHICLE,M,40,7,M/CYCLIST,1,6/18/2016,
2030,GUCHA,KISII,KISII KILGORIS ROAD,GUCHA,THE VEHICLE KNOCKED DOWN THE VICTIM,M,35,7,PEDESTRIAN,1,6/18/2016,
1830,AWENDO,HOMA BAY,KISII MIGORI,GUCHA BRIDGE,HEAD ON COLLISION,F,28,26,PASSENGER,1,6/18/2016,
2100,KISERIAN,KAJIADO,KISERIAN ISINYA,DAWAMU,HEAD ON COLLISION,M,33,22,M/CYCLIST,1,6/18/2016,
2330,KITALE,UASIN GISHU,KITALE WEBUYE,KIMININI,THE VEHICLE HIT THE M/CYCLE,M,27,8,P/PASSENGER,1,6/18/2016,
2200,TARAKWA,NAKURU,ELDORET NAKURU,NGONG,THE VEHICLE KNOCKED DOWN THE VICTIM,M,25,68,PEDESTRIAN,1,6/18/2016,
2230,NAROK,NAROK,NAROK OLOPITO,OLOPITO,HIT AND RUN,M,35,98,PEDESTRIAN,1,6/18/2016,
110,KAREN,NAIROBI,NGONG ROAD,PATHWAY JUNCTION,HIT AND RUN,M,40,98,PEDESTRIAN,1,6/18/2016,
900,KAJIADO,KAJIADO,OLENARA IMPORO,IMPORO AREA,THE VEHICLE LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE VICTIM,M,65,80,PASSENGER,1,6/17/2016,
1920,DAGORETI,NAIROBI,WAIYAKI WAY,KANGEMI MARKET,THE VEHICLE KNOCKED DOWN THE VICTIM,M,36,60,PEDESTRIAN,1,6/17/2016,
2245,KERICHO,KERCHO,KERICHO NAKURU,AISUKU AREA,HEAD ON COLLISION,M,29,10,PASSENGER,1,6/17/2016,
